sentence,fuel,machine,others,part,price,service,clean_sentence
Saya memakai Honda Jazz GK5 tahun 2014 ( pertama meluncur ) . Mobil nya bagus dan enak sesuai moto nya menyenangkan untuk dikendarai,neutral,neutral,positive,neutral,neutral,neutral,saya pakai honda jazz gk5 tahun pertama luncur mobil nya bagus dan enak sesuai moto nya senang untuk kendara
Avanza kenapa jadi boros bensin begini dah ah. Baru diisi sudah mau setengah saja .,negative,neutral,neutral,neutral,neutral,neutral,avanza kenapa jadi boros bensin begini dah ah baru isi sudah mau tengah saja
"saran ku dan pengalaman ku , mending beli mobil niaga L300 atau canter . irit dan bandel .",positive,positive,neutral,neutral,neutral,neutral,saran ku dan alam ku mending beli mobil niaga l300 atau canter irit dan bandel
Dari segi harga juga pajero lebih mahal 30 jutaan dibanding fortuner,neutral,neutral,neutral,neutral,positive,neutral,dari segi harga juga pajero lebih mahal juta banding fortuner
Kalo menurut gw enak pajero si,neutral,neutral,positive,neutral,neutral,neutral,kalo turut gw enak pajero si
CH - R versi negara ini kurang worth it soal fitur dan kelengkapan,neutral,neutral,neutral,negative,neutral,neutral,ch r versi negara ini kurang worth it soal fitur dan lengkap
"@LinaRadj kapan-kapan coba bengkel daihatsu , mereka mau kok . Servis lebih bagus .",neutral,neutral,neutral,neutral,neutral,positive,linaradj kapankapan coba bengkel daihatsu mereka mau kok servis lebih bagus
Mending confero harga nya lebih murah daripada formo.,neutral,neutral,neutral,neutral,negative,neutral,mending confero harga nya lebih murah daripada formo
kalo soal servis mending pilih grand livina soalnya after sales service nya mudah dan cepat,neutral,neutral,neutral,neutral,neutral,positive,kalo soal servis mending pilih grand livina soal after sales service nya mudah dan cepat
Lampu utama depan Grand New Veloz juga mendapatkan perubahan desain dan terkesan lebih agresif dan sedikit menonjol,neutral,neutral,neutral,positive,neutral,neutral,lampu utama depan grand new veloz juga dapat ubah desain dan kes lebih agresif dan sedikit tonjol
Motor beat aku yang menemani aku di saat ke mana saja dan yang penting bbm - nya ramah lingkungan dan ramah juga di kantong dan tarikan nya mantap banget .,positive,positive,neutral,neutral,neutral,neutral,motor beat aku yang tani aku di saat ke mana saja dan yang penting bbm nya ramah lingkung dan ramah juga di kantong dan tari nya mantap banget
"Xenia tahun 2008 bolak-balik jakarta - bandung , aki tetap aman .",neutral,neutral,neutral,positive,neutral,neutral,xenia tahun bolakbalik jakarta bandung aki tetap aman
#YamahaID Perawatan Motor Injeksi Yamaha Mudah dan Murah,neutral,neutral,neutral,neutral,neutral,positive,yamahaid awat motor injeksi yamaha mudah dan murah
Buat dalam kota xpander bagus karna model nya kalem dan kesan nya car city,neutral,neutral,neutral,positive,neutral,neutral,buat dalam kota xpander bagus karna model nya kalem dan kesan nya car city
brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi,neutral,neutral,neutral,negative,negative,neutral,brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi
toyota menang harga nya kalo nantinya mau dijual,neutral,neutral,neutral,neutral,positive,neutral,toyota menang harga nya kalo nanti mau jual
All New Toyota Kijang Innova G Diesel 2017 . Mesin bandel nan irit Otolovers .,positive,positive,neutral,neutral,neutral,neutral,all new toyota kijang innova g diesel mesin bandel nan irit otolovers
"Khusus nya Daihatsu Xenia Sporty Manual , apalagi yang terbaru ini , di samping irit bbm , suara mesin halus . Tarikan lebih baik dari generasi sebelumnya dan akselerasi cukup baik dan variasi tidak terlalu monoton atau ramai .",positive,positive,neutral,positive,neutral,neutral,khusus nya daihatsu xenia sporty manual apalagi yang baru ini di samping irit bbm suara mesin halus tari lebih baik dari generasi belum dan akselerasi cukup baik dan variasi tidak terlalu monoton atau ramai
untuk yang sekarang great new xenia sudah mempunyai fasilitas yang wow dengan harga yang bersahabat bahkan lebih murah daripada rival nya,neutral,neutral,neutral,positive,positive,neutral,untuk yang sekarang great new xenia sudah punya fasilitas yang wow dengan harga yang sahabat bahkan lebih murah daripada rival nya
"punya mobil altis tidak awet , baru setahun sudah rusak .",neutral,neutral,negative,neutral,neutral,neutral,punya mobil altis tidak awet baru tahun sudah rusak
Xenia ku tipe xi sudah 1.5 tahun dan cukup bangga dengan performa nya,neutral,positive,neutral,neutral,neutral,neutral,xenia ku tipe xi sudah tahun dan cukup bangga dengan performa nya
"Service rutin ke bengkel daihatsu resmi gak jaminan juga , rem - ku blong waktu jalan ,",neutral,neutral,neutral,neutral,neutral,negative,service rutin ke bengkel daihatsu resmi gak jamin juga rem ku blong waktu jalan
"Saya pakai karimun , adik saya pakai brio . memang karimun lebih nyaman walau lebih murah dari brio .",neutral,neutral,positive,neutral,positive,neutral,saya pakai karimun adik saya pakai brio memang karimun lebih nyaman walau lebih murah dari brio
bodi plus tampilan nya Avanza baru mantap juragan,neutral,neutral,neutral,positive,neutral,neutral,bodi plus tampil nya avanza baru mantap juragan
Sudah dari dulu Toyota selalu kasih produk super mahal dengan fitur pas pasan,neutral,neutral,neutral,negative,negative,neutral,sudah dari dulu toyota selalu kasih produk super mahal dengan fitur pas pas
"udah gaya nya stylish ekonomis pula, beli calya deh",neutral,neutral,neutral,positive,positive,neutral,udah gaya nya stylish ekonomis pula beli calya deh
avanza ini mobil saya yang paling bandel,neutral,positive,neutral,neutral,neutral,neutral,avanza ini mobil saya yang paling bandel
Mobil kualitas jelek kayak wuling saja masuk Indonesia.,neutral,neutral,negative,neutral,neutral,neutral,mobil kualitas jelek kayak wuling saja masuk indonesia
Pelayanan bengkel daihatsu bagus,neutral,neutral,neutral,neutral,neutral,positive,layan bengkel daihatsu bagus
"gue punya xenia xi , dasbor nabrak pohon , setelah dua hari diperbaiki di servis resmi daihatsu , langsung jadi kayak baru lagi , keren .",neutral,neutral,neutral,neutral,neutral,positive,gue punya xenia xi dasbor nabrak pohon telah dua hari baik di servis resmi daihatsu langsung jadi kayak baru lagi keren
"fortuner per nya keras , capek",neutral,neutral,neutral,negative,neutral,neutral,fortuner per nya keras capek
"Lebih bagus Mobil Esemka , Mobil Nasional Asli Buatan Dalam Negeri , Harga Terjangkau , Irit BBM Mesin nya juga tangguh .",positive,positive,positive,neutral,positive,neutral,lebih bagus mobil esemka mobil nasional asli buat dalam negeri harga jangkau irit bbm mesin nya juga tangguh
"ya begitu itu Nissan , memang agak mahal tetapi daya tahan nya bagus .",neutral,neutral,positive,neutral,negative,neutral,ya begitu itu nissan memang agak mahal tetapi daya tahan nya bagus
fortuner gak cocok buat mahasiswa dari segi desain yang terlalu mencolok dan mahal pula,neutral,neutral,neutral,negative,neutral,neutral,fortuner gak cocok buat mahasiswa dari segi desain yang terlalu colok dan mahal pula
Servis di Bengkel Toyota Lebih cepat,neutral,neutral,neutral,neutral,neutral,positive,servis di bengkel toyota lebih cepat
Honda Spacy irit banget sumpah,positive,neutral,neutral,neutral,neutral,neutral,honda spacy irit banget sumpah
Gak bisa tidur kalau malam-malam di mobil karena suara ac nya berisik sekali,neutral,neutral,neutral,negative,neutral,neutral,gak bisa tidur kalau malammalam di mobil karena suara ac nya berisik sekali
"Ih bengkel honda ini picik banget ya , masa iya aki motor gue ditukar sama yang jelek biar gak bisa hidup terus ada keluhan terus ke sana lagi gitu",neutral,neutral,neutral,neutral,neutral,negative,ih bengkel honda ini picik banget ya masa iya aki motor gue tukar sama yang jelek biar gak bisa hidup terus ada keluh terus ke sana lagi gitu
"dari segi kenyamanan cortez oke lah, tapi bahan bakar nya itu loh boros banget",negative,neutral,positive,neutral,neutral,neutral,dari segi nyaman cortez oke lah tapi bahan bakar nya itu loh boros banget
"jujur saja inden nya lama banget dari dealer , sudah 1 bulan belum datang juga",neutral,neutral,neutral,neutral,neutral,negative,jujur saja inden nya lama banget dari dealer sudah bulan belum datang juga
numpang gabung ya baru beli xenia 04 - 2008 3 hari yang lalu keseluruhan gue ngerasa cukup .,neutral,neutral,positive,neutral,neutral,neutral,numpang gabung ya baru beli xenia hari yang lalu seluruh gue ngerasa cukup
setuju banget kalau jazz lebih keren dan mantap daripada mobilio,neutral,neutral,negative,neutral,neutral,neutral,tuju banget kalau jazz lebih keren dan mantap daripada mobilio
"Masya Allah toyota mahal harga nya , tetapi pelit fitur-fitur",neutral,neutral,neutral,negative,negative,neutral,masya allah toyota mahal harga nya tetapi pelit fiturfitur
fortuner sparepart nya banyak dijual di mana-mana,neutral,neutral,neutral,positive,neutral,neutral,fortuner sparepart nya banyak jual di manamana
"Alhamdullilah inden dari dealer wulling agustus awal mobil sudah datang , cepat .",neutral,neutral,neutral,neutral,neutral,positive,alhamdullilah inden dari dealer wulling agustus awal mobil sudah datang cepat
"Vario 125 sangat ringan dan nyaman dipakai untuk perempuan seperti saya , apalagi dibawa ke mana-mana sangat irit dan harga nya terjangkau dibandingkan motor honda yang lain .",positive,neutral,positive,neutral,positive,neutral,vario sangat ringan dan nyaman pakai untuk perempuan seperti saya apalagi bawa ke manamana sangat irit dan harga nya jangkau banding motor honda yang lain
"Udah beli yg rush 2018 , alhamdulillah tidak ada penyesalan sampai saat ini dan insyaAllah seterusnya",neutral,neutral,positive,neutral,neutral,neutral,udah beli yg rush alhamdulillah tidak ada sesal sampai saat ini dan insyaallah terus
handling mini cooper juara .,neutral,neutral,neutral,positive,neutral,neutral,handling mini cooper juara
Saya sangat puas dengan mobil saya selain berbadan besar terlihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova,positive,neutral,positive,positive,neutral,neutral,saya sangat puas dengan mobil saya selain badan besar lihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova
xenia gak awet banget masa baru 6 bulan sudah bermasalah,neutral,neutral,negative,neutral,neutral,neutral,xenia gak awet banget masa baru bulan sudah masalah
lama banget nunggu inden xpander keburu saya jual ini mobil,neutral,neutral,neutral,neutral,neutral,negative,lama banget nunggu inden xpander keburu saya jual ini mobil
